;;;;;
Date;Apple;Paypal;BlackRock;Ford;American Airlines
2016-08-12;25.445040;38.509998;326.513916;9.920600;33.659374
2016-08-15;25.750818;38.459999;330.201294;10.001058;34.575081
2016-08-16;25.727297;38.380001;326.932526;9.928647;35.423321
2016-08-17;25.689667;38.139999;329.631226;9.968874;35.278732
2016-08-18;25.656736;38.220001;330.245789;9.920600;35.346210
2016-08-19;25.722595;38.090000;331.368073;9.968874;35.172699
2016-08-22;25.522665;38.110001;330.922607;9.944737;34.700397
2016-08-23;25.602634;37.860001;331.572876;9.993011;35.085953
2016-08-24;25.409765;37.520000;328.758423;9.896462;35.326927
2016-08-25;25.301565;37.509998;328.206177;10.033242;35.394398
2016-08-26;25.153379;37.650002;330.513000;9.960830;34.922092
2016-08-29;25.125162;37.290001;332.926605;10.033242;34.864254
2016-08-30;24.932287;37.000000;334.886108;10.097610;35.712486
2016-08-31;24.955809;37.150002;334.079590;10.137840;34.989567
2016-09-01;25.103992;36.830002;333.506104;10.009105;34.931732
2016-09-02;25.339201;37.070000;335.011536;10.057380;35.211254
2016-09-06;25.332144;37.180000;332.986359;10.194161;35.625729
2016-09-07;25.487383;38.560001;334.733765;10.218298;37.351112
2016-09-08;24.819384;39.270000;333.694244;10.242435;37.929455
2016-09-09;24.257231;38.009998;324.553955;9.960830;37.100506
2016-09-12;24.800570;38.770000;329.858856;10.218298;36.955925
2016-09-13;25.390945;39.860001;323.415955;9.960830;36.020939
2016-09-14;26.289452;39.959999;323.227631;9.767728;35.076305
2016-09-15;27.183249;40.830002;327.528992;9.743589;35.095589
2016-09-16;27.030363;40.700001;327.950165;9.743589;34.208805
2016-09-19;26.715181;40.009998;329.733398;9.743589;34.160606
2016-09-20;26.712826;39.689999;327.717163;9.655085;33.881077
2016-09-21;26.708122;40.290001;331.893036;9.727498;33.418404
2016-09-22;26.959799;40.490002;335.029358;9.799911;33.977467
2016-09-23;26.510548;40.070000;327.663391;9.791863;34.266632
2016-09-26;26.550533;40.340000;323.227631;9.663128;33.669022
2016-09-27;26.599924;41.060001;324.204437;9.638993;34.700397
2016-09-28;26.802208;40.970001;324.105774;9.727498;34.546165
2016-09-29;26.385885;40.389999;320.118164;9.630947;34.526890
2016-09-30;26.590519;40.970001;324.804871;9.711407;35.288368
2016-10-03;26.465857;40.590000;322.663116;9.735544;36.339024
2016-10-04;26.578756;40.779999;319.042847;9.816004;36.271553
2016-10-05;26.590519;40.439999;321.023193;10.041287;36.502880
2016-10-06;26.788094;40.180000;319.732819;9.968874;36.792053
2016-10-07;26.828075;39.880001;320.100250;9.888415;36.367935
2016-10-10;27.296154;39.860001;321.525055;9.751635;37.486057
2016-10-11;27.354954;39.189999;315.314972;9.647038;36.820969
2016-10-12;27.599573;39.529999;314.625031;9.622901;36.030575
2016-10-13;27.514896;39.200001;313.047821;9.582670;37.823429
2016-10-14;27.667780;39.240002;318.039154;9.582670;37.254730
2016-10-17;27.648966;39.480000;317.761322;9.558534;37.187252
2016-10-18;27.630150;39.830002;319.544586;9.566579;37.929455
2016-10-19;27.547821;40.240002;316.076691;9.663128;39.163242
2016-10-20;27.533712;40.090000;312.895477;9.630947;39.124695
2016-10-21;27.425516;44.150002;309.651550;9.671175;38.459599
2016-10-24;27.672491;43.869999;307.491943;9.807957;38.392128
2016-10-25;27.813614;43.310001;306.058167;9.653179;38.257183
2016-10-26;27.187952;42.330002;304.812561;9.677618;37.900543
2016-10-27;26.926868;41.689999;304.929077;9.563574;38.469238
2016-10-28;26.748108;41.759998;304.400330;9.547280;38.613827
2016-10-31;26.705769;41.660000;305.789307;9.563574;39.134323
2016-11-01;26.223593;41.540001;305.538452;9.457671;38.363205
2016-11-02;26.247110;41.349998;303.432526;9.286604;38.276459
2016-11-03;25.965776;41.189999;305.699707;9.245872;38.054207
2016-11-04;25.731720;40.900002;309.875610;9.237725;38.402084
2016-11-07;26.102900;41.279999;320.485535;9.433235;40.093163
2016-11-08;26.256563;41.580002;316.766724;9.351772;40.296097
2016-11-09;26.214012;41.259998;326.561188;9.433235;40.982193
2016-11-10;25.483482;40.450001;336.051025;9.726494;40.875896
2016-11-11;25.634789;40.080002;332.627899;10.003464;41.484688
2016-11-14;24.991735;38.810001;334.975647;9.824250;41.938862
2016-11-15;25.322718;38.939999;333.488159;9.807958;43.253067
2016-11-16;26.003603;39.070000;329.276428;9.775372;42.953518
2016-11-17;25.994146;39.880001;332.789246;9.669472;44.287060
2016-11-18;26.020147;40.080002;334.052673;9.579865;44.702568
2016-11-21;26.414972;40.630001;335.656738;9.604302;44.528633
2016-11-22;26.431519;40.330002;334.303619;9.685764;44.528633
2016-11-23;26.296761;40.049999;334.240906;9.693910;44.779877
2016-11-25;26.429152;40.259998;334.850250;9.807958;45.243721
2016-11-28;26.377140;39.959999;330.351746;9.710204;44.934494
2016-11-29;26.351133;39.889999;330.262085;9.710204;45.311367
2016-11-30;26.128902;39.279999;332.269409;9.742787;44.876511
2016-12-01;25.885395;38.340000;338.013458;10.125656;44.209743
2016-12-02;25.982323;38.619999;332.780212;9.970880;44.547966
2016-12-05;25.795553;38.990002;335.459564;10.133801;44.180756
2016-12-06;25.994146;38.980000;335.119019;10.231556;44.866859
2016-12-07;26.249474;39.450001;340.352386;10.638864;47.012108
2016-12-08;26.507175;39.610001;351.901215;10.614423;46.432304
2016-12-09;26.939817;39.650002;350.287506;10.728472;47.968777
2016-12-12;26.786144;39.430000;351.856110;10.443356;45.987801
2016-12-13;27.232977;39.430000;353.983765;10.402627;46.229378
2016-12-14;27.232977;39.549999;351.603699;10.207117;46.306683
2016-12-15;27.381918;39.540001;354.984436;10.247848;46.673889
2016-12-16;27.417383;39.320000;353.965668;10.288578;46.026451
2016-12-19;27.575779;39.439999;351.396362;10.313017;46.944473
2016-12-20;27.649071;39.740002;359.221741;10.410771;47.562927
2016-12-21;27.675074;40.090000;354.786133;10.296725;47.804504
2016-12-22;27.493036;39.680000;349.007202;10.101216;47.050770
2016-12-23;27.547411;39.580002;347.763000;10.150093;46.847832
2016-12-27;27.722363;39.720001;349.340729;10.093071;46.973461
2016-12-28;27.604153;39.570000;343.516754;9.979024;46.065098
2016-12-29;27.597061;39.959999;341.686676;9.962733;45.659245
2016-12-30;27.381918;39.470001;343.075073;9.881270;45.118092
2017-01-03;27.459938;40.250000;348.385162;10.255995;44.741226
2017-01-04;27.429203;41.000000;348.592560;10.728472;45.127758
2017-01-05;27.568691;41.060001;344.878204;10.402627;44.345032
2017-01-06;27.876030;41.450001;346.464844;10.394480;44.654255
2017-01-09;28.131361;41.400002;342.966827;10.288578;45.494972
2017-01-10;28.159733;41.080002;342.867706;10.467794;46.847832
2017-01-11;28.311039;41.279999;343.444672;10.321165;47.002449
2017-01-12;28.192831;41.560001;341.046509;10.255995;46.480625
2017-01-13;28.143188;41.599998;342.002197;10.288578;46.045776
2017-01-17;28.370150;41.270000;337.900146;10.272288;45.176075
2017-01-18;28.367781;41.349998;340.785095;10.272288;46.036125
2017-01-19;28.318136;41.270000;340.199066;10.288842;45.668903
2017-01-20;28.370150;41.689999;343.850372;10.230900;46.383995
2017-01-23;28.389057;41.619999;340.839203;10.189513;45.359676
2017-01-24;28.363052;41.959999;343.832336;10.437836;45.939484
2017-01-25;28.814610;41.709999;350.098145;10.586829;46.297024
2017-01-26;28.828796;41.500000;342.065338;10.239177;47.920460
